ratioD	ratio_off_off
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
